Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4",0603,3,100n,
C2,0805,1,10u,
D1,0603,1,0603/LED,
D2,0603,1,white/0603,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_DIN965_Pad,4,MountingHole_Pad,
IC1,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias,1,TMC2300,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
J4,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x08_Pin,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"R1, R2, R3, R6, R7, R8, R9",0603,7,100k,
"R10, R4",0603,2,1k,
"R11, R12",1206,2,220,
U1,MOUDLE14P-SMD-2.54-21X17.8MM,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3,
