Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4",0603,3,100n,
C2,0805,1,10u,
D1,0603,1,0603/LED,
D2,0603,1,white/0603,
"H1, H2",MountingHole_2.2mm_M2_DIN965_Pad,2,MountingHole_Pad,
IC1,QFN20_3x3_TRI,1,TMC2300,
J1,PinHeader_1x04_P1.27mm_Vertical,1,Conn_01x04_Pin,
"J2, J3",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08_Pin,
J4,MOLEX_53261-0471,1,53261-0471,
"JP1, JP2, JP3",SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels,3,SolderJumper_3_Open,
"R1, R2, R3, R4, R5, R6, R7, R8, R9",0603,9,100k,
R10,0603,1,220,
"R11, R12",1206,2,220,
"TP1, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,5,TestPoint,
